name,ttm,12/31/20,9/30/20,6/30/20,3/31/20,12/31/19,9/30/19,6/30/19,3/31/19,12/31/18,9/30/18,6/30/18,3/31/18,12/31/17,9/30/17,6/30/17,3/31/17,12/31/16,9/30/16,6/30/16,3/31/16,12/31/15,9/30/15,6/30/15,3/31/15,12/31/14,9/30/14,6/30/14,3/31/14,12/31/13,9/30/13,6/30/13,3/31/13,12/31/12,9/30/12,6/30/12,3/31/12,12/31/11,9/30/11,6/30/11,3/31/11,12/31/10,9/30/10,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03,12/31/02,9/30/02,6/30/02,3/31/02,12/31/01,9/30/01,6/30/01,3/31/01,12/31/00,9/30/00,6/30/00,3/31/00,12/31/99,9/30/99,6/30/99,3/31/99,12/31/98,9/30/98,6/30/98,3/31/98,12/31/97,9/30/97,6/30/97,3/31/97,12/31/96,9/30/96,6/30/96,3/31/96,12/31/95,9/30/95,6/30/95,3/31/95,12/31/94,9/30/94,6/30/94,3/31/94,12/31/93,9/30/93,6/30/93,3/31/93,12/31/92,9/30/92,6/30/92,3/31/92,12/31/91,9/30/91,6/30/91,3/31/91,12/31/90,9/30/90,6/30/90,3/31/90,12/31/89,9/30/89,6/30/89,3/31/89,12/31/88,9/30/88,6/30/88,3/31/88,12/31/87,9/30/87,6/30/87,3/31/87,12/31/86,9/30/86,6/30/86,3/31/86,12/31/85,9/30/85
"	TotalOtherFinanceCost",,,,,,,,"411,000,000",,,,,,,,,,,,,,,,,,,,,"-62,000,000",,,,,,,,,,,,,,,,,"103,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-4,045,000,000","78,000,000","361,000,000","-4,476,000,000","-8,000,000","77,000,000","-743,000,000","-304,000,000","4,014,000,000","101,000,000","278,000,000","73,000,000","34,000,000","81,000,000","150,000,000","-53,000,000","85,000,000","118,000,000","119,000,000","108,000,000","150,000,000","393,000,000","131,000,000","212,000,000","206,000,000","212,000,000","103,000,000","222,000,000","132,000,000","226,000,000","91,000,000","172,000,000","134,000,000","8,000,000","181,000,000","162,000,000","284,000,000","139,000,000","113,000,000","150,000,000","123,000,000","219,000,000",0,"146,000,000","153,000,000","11,000,000","190,000,000","134,000,000","-158,000,000","261,000,000","48,000,000","207,000,000","144,000,000","123,000,000","96,000,000","147,000,000","121,000,000","1,173,000,000","118,000,000","154,000,000","108,000,000","181,000,000","114,000,000","149,000,000","106,000,000","108,000,000","67,000,000","70,000,000","74,000,000","97,000,000","90,000,000","103,000,000","51,000,000","90,000,000","62,000,000","78,000,000","49,000,000","70,000,000","-60,000,000","-52,000,000","-930,000,000","-78,000,000","153,000,000","93,000,000",,"202,000,000","-208,000,000","-87,000,000","-75,000,000","261,000,000",,,,,0,,,"135,000,000","41,000,000",,"-525,000,000","-22,000,000","52,500,000","-14,400,000","-33,100,000","27,900,000","54,300,000","-47,700,000","8,400,000","4,200,000","-247,000,000","-26,700,000","-34,900,000","-37,800,000","136,700,000","-1,200,000","800,000","5,200,000","103,700,000","7,700,000","7,200,000","800,000","54,500,000","10,200,000","18,800,000","16,500,000",,,,,,,,,,,,,,,,,
"	GainOnSaleOfSecurity",,,"65,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-143,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest","651,000,000","224,000,000","106,000,000","186,000,000","135,000,000","224,000,000","131,000,000","-1,000,000","-312,000,000","76,000,000","-224,000,000","73,000,000","6,000,000","43,000,000","-7,000,000","124,000,000","85,000,000","118,000,000","150,000,000","152,000,000","150,000,000","474,000,000","184,000,000","212,000,000","206,000,000","212,000,000","176,000,000","222,000,000","217,000,000","239,000,000","161,000,000","232,000,000","185,000,000","110,000,000","175,000,000","169,000,000","138,000,000","145,000,000","122,000,000","184,000,000","123,000,000","156,000,000",,"139,000,000","154,000,000","89,000,000",,"155,000,000","147,000,000","147,000,000","139,000,000","175,000,000","144,000,000","123,000,000","96,000,000","147,000,000","121,000,000","121,000,000","118,000,000","136,000,000","108,000,000","111,000,000","120,000,000","125,000,000","113,000,000","125,000,000","72,000,000","126,000,000","77,000,000","97,000,000","91,000,000","102,000,000","51,000,000","90,000,000","62,000,000","44,000,000","49,000,000","70,000,000","66,000,000","86,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","-4,725,000,000","-113,000,000","198,000,000","-4,665,000,000","-145,000,000","-150,000,000","-797,000,000","-330,000,000","4,301,000,000",0,"596,000,000",,"-13,000,000","38,000,000","-20,000,000",0,0,0,"-31,000,000","-44,000,000",0,"-81,000,000","-53,000,000",0,0,0,"4,000,000",0,"29,000,000","-19,000,000","-162,000,000","-60,000,000","-61,000,000","-102,000,000","6,000,000","-7,000,000","146,000,000","-6,000,000","-9,000,000","-34,000,000",0,"63,000,000","382,000,000","7,000,000","-1,000,000","-78,000,000","639,000,000","-21,000,000","-305,000,000","114,000,000","-91,000,000","32,000,000",,,0,,,"1,052,000,000",0,"18,000,000",,"70,000,000",,"24,000,000","-7,000,000","-17,000,000","-5,000,000","-56,000,000","-3,000,000",,"-1,000,000","1,000,000",,,0,"34,000,000",,,"-126,000,000","-138,000,000","-996,000,000","-78,000,000","153,000,000","93,000,000",,"202,000,000","-208,000,000","-87,000,000","-75,000,000","261,000,000",,,,,0,,,"135,000,000","41,000,000",,"-525,000,000","-22,000,000","52,500,000","-14,400,000","-33,100,000","27,900,000","54,300,000","-47,700,000","8,400,000","4,200,000","-247,000,000","-26,700,000","-34,900,000","-37,800,000","136,700,000","-1,200,000","800,000","5,200,000","103,700,000","7,700,000","7,200,000","800,000","54,500,000","10,200,000","18,800,000","16,500,000",,,,,,,,,,,,,,,,,
"		RestructuringAndMergernAcquisition","5,698,000,000","113,000,000","393,000,000","94,000,000","145,000,000","150,000,000","314,000,000","330,000,000","-4,255,000,000",0,"2,000,000",,"13,000,000","15,000,000","-157,000,000",0,0,0,"31,000,000","44,000,000",0,"81,000,000","53,000,000",0,0,0,"73,000,000",0,"48,000,000","19,000,000","93,000,000","60,000,000","61,000,000",0,"49,000,000","7,000,000","38,000,000","6,000,000","9,000,000","34,000,000",0,"12,000,000","58,000,000","36,000,000","71,000,000","105,000,000","166,000,000","21,000,000","305,000,000",,,,,,,,,,0,"-18,000,000",,,,"-24,000,000","7,000,000","17,000,000","5,000,000","56,000,000","3,000,000",,"1,000,000","15,000,000",,,,,,,"126,000,000","138,000,000","996,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets",,,,"4,953,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,"-591,000,000","-382,000,000",,,"511,000,000",,"-46,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"321,000,000","-55,000,000",,"-184,000,000",,0,,,"-75,000,000","-440,000,000","-43,000,000","-70,000,000","-27,000,000","-805,000,000",,,,,,,,,,,,0,,,,,,,,,,,,0,"-16,000,000",,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,"219,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfPPE",,,,,,,,,,,,,,"53,000,000",,,,,,,,,,,0,,,,"77,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
